date,Page view,Avg. page time,Bounce rate,is_peak_season,,,
2018/4/28,"14,527",00:01:50,72.81%,0,,,
2018/4/29,"13,795",00:02:02,73.28%,0,,,
2018/4/30,"16,169",00:01:49,71.45%,0,,,
2018/5/1,"16,232",00:01:45,72.36%,0,,,
2018/5/2,"17,637",00:01:58,75.83%,0,,,
2018/5/3,"27,552",00:01:14,40.32%,0,,,
2018/5/4,"33,674",00:00:55,4.72%,0,,,
2018/5/5,"30,572",00:01:00,4.12%,0,,,
2018/5/6,"28,255",00:01:09,3.40%,0,,,
2018/5/7,"34,032",00:01:00,3.29%,0,,,
2018/5/8,"28,466",00:01:06,2.95%,0,,,
2018/5/9,"34,597",00:00:58,2.62%,0,,,
2018/5/10,"32,293",00:01:08,2.46%,0,,,
2018/5/11,"29,371",00:00:58,2.59%,0,,,
2018/5/12,"24,118",00:01:06,2.75%,0,,,
2018/5/13,"26,147",00:01:04,2.45%,0,,,
2018/5/14,"32,549",00:01:06,1.82%,0,,,
2018/5/15,"34,396",00:01:03,2.13%,0,,,
2018/5/16,"30,333",00:01:03,2.45%,0,,,
2018/5/17,"42,174",00:01:01,2.14%,0,,,
2018/5/18,"35,139",00:01:05,1.92%,0,,,
2018/5/19,"31,100",00:01:07,1.88%,0,,,
2018/5/20,"35,615",00:01:09,1.88%,0,,,
2018/5/21,"42,044",00:01:00,1.63%,0,,,
2018/5/22,"37,545",00:01:03,1.87%,0,,,
2018/5/23,"36,580",00:01:03,2.18%,0,,,
2018/5/24,"42,207",00:00:58,2.32%,0,,,
2018/5/25,"40,244",00:00:57,1.94%,0,,,
2018/5/26,"35,129",00:01:07,1.88%,0,,,
2018/5/27,"44,929",00:01:07,1.91%,0,,,
2018/5/28,"43,865",00:01:04,1.89%,0,,,
2018/5/29,"37,232",00:01:02,1.98%,0,,,
2018/5/30,"30,286",00:01:26,26.88%,0,,,
2018/5/31,"16,077",00:02:54,56.87%,0,,,
2018/6/1,"12,943",00:03:03,60.70%,0,,,
2018/6/2,"15,643",00:03:31,60.95%,0,,,
2018/6/3,"21,527",00:03:54,59.76%,0,,,
2018/6/4,"20,761",00:02:33,58.62%,0,,,
2018/6/5,"24,803",00:02:02,57.64%,0,,,
2018/6/6,"24,438",00:02:20,63.92%,0,,,
2018/6/7,"18,986",00:02:48,57.68%,0,,,
2018/6/8,"16,854",00:03:18,58.62%,0,,,
2018/6/9,"14,389",00:03:27,61.10%,0,,,
2018/6/10,"17,835",00:03:19,59.78%,0,,,
2018/6/11,"16,249",00:03:10,57.57%,0,,,
2018/6/12,"16,666",00:03:12,59.30%,0,,,
2018/6/13,"16,880",00:03:10,60.12%,0,,,
2018/6/14,"16,192",00:03:19,58.97%,0,,,
2018/6/15,"16,038",00:03:04,59.38%,0,,,
2018/6/16,"14,063",00:03:18,62.00%,0,,,
2018/6/17,"12,877",00:03:20,59.65%,0,,,
2018/6/18,"14,418",00:03:22,58.37%,0,,,
2018/6/19,"17,132",00:03:11,58.88%,0,,,
2018/6/20,"16,428",00:03:25,59.95%,0,,,
2018/6/21,"18,399",00:03:20,57.04%,0,,,
2018/6/22,"18,461",00:03:46,58.40%,0,,,
2018/6/23,"15,675",00:04:00,63.29%,0,,,
2018/6/24,"12,675",00:03:13,65.02%,0,,,
2018/6/25,"12,074",00:02:55,62.99%,0,,,
2018/6/26,"10,150",00:02:44,62.31%,0,,,
2018/6/27,"9,349",00:03:13,63.68%,0,,,
2018/6/28,"9,048",00:03:18,63.50%,0,,,
2018/6/29,"10,256",00:03:10,63.92%,0,,,
2018/6/30,"9,587",00:03:20,63.60%,0,,,
2018/7/1,"9,295",00:03:23,63.96%,1,,,
2018/7/2,"10,689",00:03:39,63.94%,1,,,
2018/7/3,"11,563",00:03:44,60.64%,1,,,
2018/7/4,"14,714",00:03:28,61.48%,1,,,
2018/7/5,"14,495",00:03:41,62.39%,1,,,
2018/7/6,"10,198",00:03:38,61.70%,1,,,
2018/7/7,"16,259",00:02:26,51.40%,1,,,
2018/7/8,"18,291",00:02:26,54.02%,1,,,
2018/7/9,"17,071",00:03:03,58.39%,1,,,
2018/7/10,"19,050",00:02:36,56.88%,1,,,
2018/7/11,"24,264",00:02:12,53.25%,1,,,
2018/7/12,"23,772",00:02:30,54.21%,1,,,
2018/7/13,"15,526",00:03:00,57.97%,1,,,
2018/7/14,"11,667",00:03:06,58.29%,1,,,
2018/7/15,"12,252",00:02:55,57.62%,1,,,
2018/7/16,"14,162",00:02:56,58.75%,1,,,
2018/7/17,"14,400",00:03:10,59.15%,1,,,
2018/7/18,"15,101",00:03:07,59.80%,1,,,
2018/7/19,"32,137",00:03:36,48.73%,1,,,
2018/7/20,"37,047",00:03:03,47.78%,1,,,
2018/7/21,"40,350",00:03:02,52.58%,1,,,
2018/7/22,"42,502",00:02:58,52.88%,1,,,
2018/7/23,"40,020",00:03:13,51.30%,1,,,
2018/7/24,"37,421",00:03:32,50.91%,1,,,
2018/7/25,"34,177",00:03:24,51.71%,1,,,
2018/7/26,"33,808",00:03:40,51.90%,1,,,
2018/7/27,"28,819",00:03:45,51.11%,1,,,
2018/7/28,"18,791",00:03:36,58.23%,1,,,
2018/7/29,"13,369",00:03:16,61.15%,1,,,
2018/7/30,"13,655",00:02:49,60.07%,1,,,
2018/7/31,"15,560",00:02:36,62.74%,1,,,
2018/8/1,"13,311",00:02:56,64.21%,1,,,
2018/8/2,"13,212",00:02:59,62.40%,1,,,
2018/8/3,"11,804",00:02:26,62.03%,1,,,
2018/8/4,"9,453",00:03:20,63.25%,1,,,
2018/8/5,"10,467",00:03:19,65.52%,1,,,
2018/8/6,"11,073",00:03:02,60.89%,1,,,
2018/8/7,"27,847",00:03:49,61.15%,1,,,
2018/8/8,"19,516",00:03:23,60.59%,1,,,
2018/8/9,"16,075",00:03:26,61.99%,1,,,
2018/8/10,"15,631",00:03:17,60.47%,1,,,
2018/8/11,"14,395",00:03:23,60.17%,1,,,
2018/8/12,"13,376",00:03:37,60.14%,1,,,
2018/8/13,"14,657",00:03:05,58.93%,1,,,
2018/8/14,"16,410",00:02:34,56.61%,1,,,
2018/8/15,"14,454",00:03:02,58.79%,1,,,
2018/8/16,"12,619",00:03:05,59.43%,1,,,
2018/8/17,"11,246",00:03:23,60.19%,1,,,
2018/8/18,"10,354",00:03:17,61.28%,1,,,
2018/8/19,"11,439",00:03:14,61.32%,1,,,
2018/8/20,"14,005",00:03:03,58.54%,1,,,
2018/8/21,"14,600",00:02:42,59.27%,1,,,
2018/8/22,"11,912",00:03:04,58.14%,1,,,
2018/8/23,"10,816",00:03:21,59.07%,1,,,
2018/8/24,"11,091",00:03:17,59.73%,1,,,
2018/8/25,"9,308",00:03:10,60.27%,1,,,
2018/8/26,"10,146",00:03:06,59.81%,1,,,
2018/8/27,"11,936",00:03:30,58.63%,1,,,
2018/8/28,"13,433",00:03:27,59.29%,1,,,
2018/8/29,"14,491",00:03:23,58.60%,1,,,
2018/8/30,"11,214",00:03:31,59.79%,1,,,
2018/8/31,"10,205",00:03:12,60.40%,1,,,
2018/9/1,"10,204",00:03:19,61.68%,0,,,
2018/9/2,"13,081",00:03:21,59.42%,0,,,
2018/9/3,"11,295",00:03:23,60.69%,0,,,
2018/9/4,"11,513",00:03:18,62.33%,0,,,
2018/9/5,"12,646",00:03:18,62.27%,0,,,
2018/9/6,"14,012",00:03:42,60.28%,0,,,
2018/9/7,"15,512",00:02:22,59.73%,0,,,
2018/9/8,"11,284",00:03:18,61.98%,0,,,
2018/9/9,"13,122",00:03:13,62.08%,0,,,
2018/9/10,"17,036",00:02:31,58.94%,0,,,
2018/9/11,"15,016",00:02:52,60.94%,0,,,
2018/9/12,"19,254",00:02:17,59.89%,0,,,
2018/9/13,"14,291",00:03:03,61.13%,0,,,
2018/9/14,"15,278",00:02:23,59.85%,0,,,
2018/9/15,"13,066",00:03:09,60.89%,0,,,
2018/9/16,"14,995",00:03:06,60.82%,0,,,
2018/9/17,"13,170",00:03:03,61.12%,0,,,
2018/9/18,"13,267",00:03:07,59.76%,0,,,
2018/9/19,"15,268",00:02:42,60.78%,0,,,
2018/9/20,"13,243",00:02:58,62.57%,0,,,
2018/9/21,"11,920",00:02:54,61.30%,0,,,
2018/9/22,"10,688",00:03:17,62.87%,0,,,
2018/9/23,"12,115",00:03:11,63.14%,0,,,
2018/9/24,"14,742",00:03:25,59.75%,0,,,
2018/9/25,"13,559",00:03:07,61.49%,0,,,
2018/9/26,"13,177",00:03:08,60.52%,0,,,
2018/9/27,"13,714",00:02:48,61.59%,0,,,
2018/9/28,"13,501",00:03:00,60.06%,0,,,
2018/9/29,"12,026",00:03:15,60.05%,0,,,
2018/9/30,"13,633",00:03:00,62.06%,0,,,
2018/10/1,"12,571",00:03:05,59.34%,0,,,
2018/10/2,"12,678",00:03:00,59.47%,0,,,
2018/10/3,"13,869",00:02:49,59.65%,0,,,
2018/10/4,"14,083",00:02:51,58.87%,0,,,
2018/10/5,"12,662",00:02:28,59.65%,0,,,
2018/10/6,"10,808",00:03:16,62.71%,0,,,
2018/10/7,"11,508",00:02:57,61.95%,0,,,
2018/10/8,"12,729",00:02:49,58.98%,0,,,
2018/10/9,"10,495",00:03:18,60.22%,0,,,
2018/10/10,"12,256",00:03:05,62.04%,0,,,
2018/10/11,"11,696",00:03:11,59.88%,0,,,
2018/10/12,"12,204",00:03:15,59.07%,0,,,
2018/10/13,"10,612",00:03:16,60.96%,0,,,
2018/10/14,"13,171",00:03:14,61.30%,0,,,
2018/10/15,"14,458",00:02:46,58.77%,0,,,
2018/10/16,"11,521",00:03:17,59.09%,0,,,
2018/10/17,"13,798",00:03:09,61.12%,0,,,
2018/10/18,"16,860",00:03:19,62.99%,0,,,
2018/10/19,"14,666",00:03:08,59.94%,0,,,
2018/10/20,"11,258",00:03:14,63.12%,0,,,
2018/10/21,"12,616",00:03:20,60.90%,0,,,
2018/10/22,"13,086",00:03:03,60.57%,0,,,
2018/10/23,"13,699",00:02:34,61.11%,0,,,
2018/10/24,"14,364",00:02:56,60.24%,0,,,
2018/10/25,"13,190",00:02:57,59.59%,0,,,
2018/10/26,"15,527",00:01:58,58.43%,0,,,
2018/10/27,"11,755",00:03:19,60.29%,0,,,
2018/10/28,"14,279",00:02:48,59.29%,0,,,
2018/10/29,"15,750",00:02:35,60.11%,0,,,
2018/10/30,"16,776",00:02:39,61.91%,0,,,
2018/10/31,"16,054",00:02:23,58.28%,0,,,
2018/11/1,"13,592",00:03:01,59.83%,0,,,
2018/11/2,"13,772",00:02:44,58.81%,0,,,
2018/11/3,"12,827",00:03:00,61.12%,0,,,
2018/11/4,"14,639",00:02:57,60.72%,0,,,
2018/11/5,"13,831",00:02:39,61.55%,0,,,
2018/11/6,"13,202",00:02:37,61.36%,0,,,
2018/11/7,"13,870",00:02:27,60.34%,0,,,
2018/11/8,"14,640",00:02:33,63.33%,0,,,
2018/11/9,"12,654",00:02:20,63.39%,0,,,
2018/11/10,"10,899",00:02:54,64.23%,0,,,
2018/11/11,"12,402",00:02:55,61.21%,0,,,
2018/11/12,"12,964",00:02:36,61.49%,0,,,
2018/11/13,"11,891",00:02:54,61.07%,0,,,
2018/11/14,"13,566",00:02:39,60.55%,0,,,
2018/11/15,"12,733",00:02:48,63.10%,0,,,
2018/11/16,"13,415",00:02:34,60.22%,0,,,
2018/11/17,"12,135",00:03:04,62.13%,0,,,
2018/11/18,"13,682",00:02:47,61.75%,0,,,
2018/11/19,"14,379",00:02:32,61.31%,0,,,
2018/11/20,"13,542",00:02:50,61.46%,0,,,
2018/11/21,"14,624",00:02:32,62.17%,0,,,
2018/11/22,"13,627",00:02:39,60.58%,0,,,
2018/11/23,"16,191",00:02:00,58.65%,0,,,
2018/11/24,"7,746",00:03:04,65.13%,0,,,
2018/11/25,"9,961",00:02:50,65.29%,0,,,
2018/11/26,"13,325",00:02:38,60.92%,0,,,
2018/11/27,"10,950",00:03:19,62.62%,0,,,
2018/11/28,"11,754",00:02:54,61.80%,0,,,
2018/11/29,"12,995",00:02:36,60.87%,0,,,
2018/11/30,"13,693",00:02:29,60.63%,0,,,
2018/12/1,"11,397",00:02:56,63.25%,0,,,
2018/12/2,"13,369",00:03:02,61.07%,0,,,
2018/12/3,"5,423",00:02:57,74.93%,0,,,
2018/12/4,"11,419",00:02:44,76.38%,0,,,
2018/12/5,"12,264",00:02:45,76.50%,0,,,
2018/12/6,"11,744",00:02:57,74.39%,0,,,
2018/12/7,"9,872",00:03:06,76.62%,0,,,
2018/12/8,"8,519",00:03:11,77.73%,0,,,
2018/12/9,"10,332",00:03:12,76.89%,0,,,
2018/12/10,"11,816",00:03:06,78.06%,0,,,
2018/12/11,"11,530",00:03:04,77.07%,0,,,
2018/12/12,"10,941",00:02:40,76.15%,0,,,
2018/12/13,"11,184",00:02:59,76.52%,0,,,
2018/12/14,"11,093",00:02:42,78.10%,0,,,
2018/12/15,"9,481",00:03:17,79.66%,0,,,
2018/12/16,"10,407",00:03:29,78.13%,0,,,
2018/12/17,"11,029",00:03:00,78.19%,0,,,
2018/12/18,"11,957",00:02:49,76.50%,0,,,
2018/12/19,"13,832",00:02:24,74.87%,0,,,
2018/12/20,"10,579",00:02:37,77.09%,0,,,
2018/12/21,"10,784",00:02:20,76.96%,0,,,
2018/12/22,"9,891",00:02:12,76.72%,0,,,
2018/12/23,"10,496",00:02:39,76.74%,0,,,
2018/12/24,"10,543",00:02:26,76.50%,0,,,
2018/12/25,"10,159",00:02:22,75.39%,0,,,
2018/12/26,"12,610",00:02:06,74.85%,0,,,
2018/12/27,"10,723",00:02:38,76.57%,0,,,
2018/12/28,"9,803",00:02:15,75.66%,0,,,
2018/12/29,"7,460",00:02:52,78.55%,0,,,
2018/12/30,"7,848",00:03:08,77.74%,0,,,
2018/12/31,"7,003",00:02:50,79.64%,0,,,
2019/1/1,"9,640",00:02:40,75.92%,0,,,
2019/1/2,"10,764",00:02:45,77.67%,0,,,
2019/1/3,"11,071",00:02:52,76.59%,0,,,
2019/1/4,"10,268",00:03:05,76.98%,0,,,
2019/1/5,"10,307",00:03:12,78.40%,0,,,
2019/1/6,"11,469",00:03:33,77.65%,0,,,
2019/1/7,"12,043",00:02:57,78.79%,0,,,
2019/1/8,"11,241",00:02:49,78.85%,0,,,
2019/1/9,"11,275",00:02:55,77.33%,0,,,
2019/1/10,"11,691",00:02:38,78.64%,0,,,
2019/1/11,"11,021",00:02:48,77.85%,0,,,
2019/1/12,"9,848",00:03:01,78.83%,0,,,
2019/1/13,"10,871",00:03:13,78.76%,0,,,
2019/1/14,"10,776",00:02:46,77.76%,0,,,
2019/1/15,"10,120",00:03:04,78.65%,0,,,
2019/1/16,"11,154",00:03:22,78.43%,0,,,
2019/1/17,"11,511",00:03:01,78.84%,0,,,
2019/1/18,"10,284",00:02:45,78.13%,0,,,
2019/1/19,"10,164",00:02:58,78.90%,0,,,
2019/1/20,"12,079",00:03:08,82.97%,0,,,
2019/1/21,"11,739",00:03:05,80.67%,0,,,
2019/1/22,"12,656",00:02:57,81.28%,0,,,
2019/1/23,"14,341",00:03:09,82.03%,0,,,
2019/1/24,"16,507",00:02:53,82.68%,0,,,
2019/1/25,"13,859",00:02:57,80.78%,0,,,
2019/1/26,"14,278",00:03:27,79.76%,0,,,
2019/1/27,"17,499",00:03:12,74.68%,0,,,
2019/1/28,"20,406",00:03:06,73.64%,0,,,
2019/1/29,"21,512",00:03:14,75.52%,0,,,
2019/1/30,"21,243",00:03:00,73.86%,0,,,
2019/1/31,"21,164",00:03:05,74.07%,0,,,
2019/2/1,"17,689",00:03:10,73.05%,1,,,
2019/2/2,"14,217",00:03:03,76.41%,1,,,
2019/2/3,"14,982",00:03:14,80.57%,1,,,
2019/2/4,"10,596",00:03:11,77.72%,1,,,
2019/2/5,"10,733",00:03:32,75.46%,1,,,
2019/2/6,"12,039",00:03:17,76.39%,1,,,
2019/2/7,"16,001",00:03:22,74.96%,1,,,
2019/2/8,"19,644",00:03:16,73.17%,1,,,
2019/2/9,"20,665",00:03:25,71.43%,1,,,
2019/2/10,"26,979",00:03:16,69.09%,1,,,
2019/2/11,"33,388",00:03:00,70.33%,1,,,
2019/2/12,"32,782",00:02:54,70.79%,1,,,
2019/2/13,"36,006",00:02:47,73.13%,1,,,
2019/2/14,"30,825",00:02:53,73.98%,1,,,
2019/2/15,"28,060",00:03:00,73.80%,1,,,
2019/2/16,"29,026",00:03:08,74.27%,1,,,
2019/2/17,"34,024",00:03:11,73.95%,1,,,
2019/2/18,"31,356",00:02:44,72.62%,1,,,
2019/2/19,"28,580",00:02:32,72.43%,1,,,
2019/2/20,"31,343",00:02:43,71.14%,1,,,
2019/2/21,"29,618",00:02:38,71.49%,1,,,
2019/2/22,"29,486",00:02:37,71.91%,1,,,
2019/2/23,"29,938",00:02:36,72.84%,1,,,
2019/2/24,"34,005",00:03:13,74.02%,1,,,
2019/2/25,"81,230",00:03:03,71.91%,1,,,
2019/2/26,"93,308",00:03:01,70.88%,1,,,
2019/2/27,"72,478",00:03:01,71.26%,1,,,
2019/2/28,"64,613",00:03:21,69.71%,1,,,
2019/3/1,"57,265",00:03:18,71.40%,1,,,
2019/3/2,"58,989",00:03:13,74.12%,1,,,
2019/3/3,"68,671",00:03:25,72.36%,1,,,
2019/3/4,"58,804",00:02:55,72.68%,1,,,
2019/3/5,"57,402",00:02:50,71.51%,1,,,
2019/3/6,"57,358",00:02:55,71.85%,1,,,
2019/3/7,"49,899",00:02:45,71.25%,1,,,
2019/3/8,"40,107",00:02:43,71.24%,1,,,
2019/3/9,"44,968",00:02:56,69.72%,1,,,
2019/3/10,"51,272",00:02:58,70.12%,1,,,
2019/3/11,"44,976",00:02:40,71.85%,1,,,
2019/3/12,"40,277",00:02:38,72.23%,1,,,
2019/3/13,,,,,,,
2019/3/14,"37,612",00:02:42,73.45%,1,,,
2019/3/15,"39,070",00:02:43,77.71%,1,,,
2019/3/16,"41,570",00:02:59,79.90%,1,,,
2019/3/17,"38,561",00:03:01,75.86%,1,,,
2019/3/18,"41,632",00:02:52,74.45%,1,,,
2019/3/19,"37,129",00:02:54,74.20%,1,,,
2019/3/20,"34,816",00:02:55,73.32%,1,,,
2019/3/21,"31,756",00:02:48,72.57%,1,,,
2019/3/22,"28,466",00:02:48,72.22%,1,,,
2019/3/23,"27,443",00:03:01,72.76%,1,,,
2019/3/24,"28,285",00:03:04,72.78%,1,,,
2019/3/25,"23,952",00:02:49,73.80%,1,,,
2019/3/26,"25,816",00:02:46,72.42%,1,,,
2019/3/27,"51,923",00:03:04,73.05%,1,,,
2019/3/28,"54,615",00:02:53,71.01%,1,,,
2019/3/29,"47,756",00:02:57,71.04%,1,,,
2019/3/30,"45,889",00:03:11,71.36%,1,,,
2019/3/31,"50,599",00:03:05,70.24%,1,,,
2019/4/1,"45,833",00:02:57,70.91%,0,,,
2019/4/2,"45,166",00:02:54,70.75%,0,,,
2019/4/3,"35,441",00:02:56,73.02%,0,,,
2019/4/4,"27,440",00:03:10,74.31%,0,,,
2019/4/5,"28,073",00:03:07,74.10%,0,,,
2019/4/6,"32,036",00:03:12,73.92%,0,,,
2019/4/7,"38,033",00:03:07,70.94%,0,,,
2019/4/8,"37,729",00:03:07,71.77%,0,,,
2019/4/9,"36,759",00:02:59,71.23%,0,,,
2019/4/10,"34,806",00:03:10,71.13%,0,,,
2019/4/11,"34,330",00:03:12,72.15%,0,,,
2019/4/12,"32,271",00:03:22,72.88%,0,,,
2019/4/13,"32,797",00:03:30,76.38%,0,,,
2019/4/14,"34,516",00:03:21,78.48%,0,,,
2019/4/15,"29,247",00:02:50,75.76%,0,,,
2019/4/16,"26,629",00:02:59,75.16%,0,,,
2019/4/17,"25,401",00:03:19,75.46%,0,,,
2019/4/18,"27,353",00:03:07,75.25%,0,,,
2019/4/19,"30,323",00:03:11,75.87%,0,,,
2019/4/20,"24,307",00:03:21,77.42%,0,,,
2019/4/21,"21,381",00:03:04,75.13%,0,,,
2019/4/22,"19,520",00:02:43,76.58%,0,,,
2019/4/23,"18,347",00:02:51,78.01%,0,,,
2019/4/24,"19,019",00:02:40,77.39%,0,,,
2019/4/25,"19,100",00:02:24,76.14%,0,,,
2019/4/26,"18,784",00:02:58,78.60%,0,,,
2019/4/27,"15,646",00:02:59,78.54%,0,,,
2019/4/28,"18,076",00:03:01,76.41%,0,,,
2019/4/29,"22,518",00:02:39,76.02%,0,,,
2019/4/30,"21,006",00:02:32,76.97%,0,,,
2019/5/1,"19,601",00:02:37,75.01%,0,,,
2019/5/2,"23,086",00:02:37,76.40%,0,,,
2019/5/3,"18,643",00:02:33,76.06%,0,,,
2019/5/4,"15,495",00:03:08,78.00%,0,,,
2019/5/5,"16,308",00:02:56,77.51%,0,,,
2019/5/6,"22,412",00:02:29,75.88%,0,,,
2019/5/7,"20,591",00:02:43,75.97%,0,,,
2019/5/8,"21,157",00:02:36,76.76%,0,,,
2019/5/9,"26,440",00:02:31,75.46%,0,,,
2019/5/10,"20,380",00:02:38,75.75%,0,,,
2019/5/11,"16,076",00:02:49,77.18%,0,,,
2019/5/12,"18,681",00:02:45,75.70%,0,,,
2019/5/13,"21,834",00:02:39,75.79%,0,,,
2019/5/14,"19,570",00:02:44,75.52%,0,,,
2019/5/15,"20,631",00:02:39,75.05%,0,,,
2019/5/16,"28,457",00:02:23,76.40%,0,,,
2019/5/17,"19,763",00:02:52,77.90%,0,,,
2019/5/18,"17,913",00:02:56,76.83%,0,,,
2019/5/19,"20,589",00:02:55,74.61%,0,,,
2019/5/20,"24,624",00:02:25,73.46%,0,,,
2019/5/21,"25,335",00:02:23,72.77%,0,,,
2019/5/22,"23,283",00:02:36,74.06%,0,,,
2019/5/23,"28,215",00:02:37,75.89%,0,,,
2019/5/24,"26,808",00:02:44,76.08%,0,,,
2019/5/25,"20,183",00:02:57,76.68%,0,,,
2019/5/26,"23,392",00:02:59,75.59%,0,,,
2019/5/27,"27,213",00:02:26,75.26%,0,,,
2019/5/28,"23,351",00:02:46,76.00%,0,,,
2019/5/29,"20,862",00:02:44,75.60%,0,,,
2019/5/30,"19,304",00:02:38,75.75%,0,,,
2019/5/31,"16,287",00:02:30,76.55%,0,,,
2019/6/1,"14,889",00:02:57,78.87%,0,,,
2019/6/2,"17,019",00:02:53,76.92%,0,,,
2019/6/3,"17,587",00:02:42,76.72%,0,,,
2019/6/4,"16,718",00:02:41,76.88%,0,,,
2019/6/5,"21,210",00:02:52,78.02%,0,,,
2019/6/6,"21,515",00:02:28,76.00%,0,,,
2019/6/7,"17,150",00:02:58,78.49%,0,,,
2019/6/8,"17,576",00:02:51,78.04%,0,,,
2019/6/9,"20,783",00:02:47,77.11%,0,,,
2019/6/10,"25,243",00:02:47,76.90%,0,,,
2019/6/11,"23,687",00:02:52,76.27%,0,,,
2019/6/12,"20,121",00:02:56,77.38%,0,,,
2019/6/13,"20,348",00:03:03,76.74%,0,,,
2019/6/14,"19,636",00:02:53,76.72%,0,,,
2019/6/15,"18,726",00:03:18,78.47%,0,,,
2019/6/16,"19,542",00:03:02,77.32%,0,,,
2019/6/17,"21,059",00:02:52,77.70%,0,,,
2019/6/18,"20,266",00:03:08,78.06%,0,,,
2019/6/19,"21,375",00:03:01,77.51%,0,,,
2019/6/20,"23,036",00:03:09,77.57%,0,,,
2019/6/21,"24,678",00:03:18,77.49%,0,,,
2019/6/22,"20,309",00:03:29,79.06%,0,,,
2019/6/23,"19,944",00:02:57,80.86%,0,,,
2019/6/24,,,,,,,
2019/6/25,"14,121",00:02:53,81.14%,0,,,
2019/6/26,"13,773",00:02:59,81.55%,0,,,
2019/6/27,"17,136",00:02:52,84.77%,0,,,
2019/6/28,"15,219",00:02:51,82.86%,0,,,
2019/6/29,"13,240",00:03:10,81.85%,0,,,
2019/6/30,"13,821",00:03:05,82.32%,0,,,
2019/7/1,"15,868",00:03:16,82.32%,1,,,
2019/7/2,"15,583",00:03:19,80.98%,1,,,
2019/7/3,"17,583",00:03:17,80.71%,1,,,
2019/7/4,"16,543",00:02:52,80.46%,1,,,